group,sibling,seqid,uniprot_id,url,description,gene,length,probability,num_peptide,num_nondegenerate_peptide,num_spectra,percent_spectra,pct_spectrum_ids,organism,other_seqids
1,a,DECOY0_tr,,,Randomized Protein Sequence,,,1.0,61,61,92,4.4,1.63,,
2,a,DECOY1_tr,,,Randomized Protein Sequence,,,1.0,77,76,128,6.13,2.66,,
3,a,C0K3N3,TXVE_CROAT,"=HYPERLINK(""http://uniprot.org/uniprot/TXVE_CROAT"")",Snake venom vascular endothelial growth factor toxin; svVEGF; Cratrin,,144,1.0,7,7,47,2.25,2.27,Crotalus atrox (Western diamondback rattlesnake).,
4,a,P86543,CRVP1_NAJNA,"=HYPERLINK(""http://uniprot.org/uniprot/CRVP1_NAJNA"")",Cysteine-rich venom protein; CRVP; Cysteine-rich secretory protein 1; CRISP1; Cysteine-rich secretory protein 2; CRISP2; Najanajin,,33,1.0,3,3,14,0.67,0.59,Naja naja (Indian cobra).,sp|Q7T1K6|CRVP1_NAJAT;sp|Q7ZT98|CRVP_OPHHA;tr|B5THG8|B5THG8_NAJKA
5,a,Q9PSN7,VM3H1_CRORU,"=HYPERLINK(""http://uniprot.org/uniprot/VM3H1_CRORU"")",Hemorrhagic metalloproteinase HT-1; Hemorrhagic toxin I; Snake venom metalloproteinase; SVMP,,216,1.0,4,4,18,0.86,0.78,Crotalus ruber ruber (Red diamond rattlesnake).,
6,a,J3RZT5,J3RZT5_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3RZT5_CROAD"")","Keratin, type I cytoskeletal 19",,374,1.0,3,3,5,0.24,0.24,Crotalus adamanteus (Eastern diamondback rattlesnake).,
7,a,J9ZZN7,J9ZZN7_9SAUR,"=HYPERLINK(""http://uniprot.org/uniprot/J9ZZN7_9SAUR"")",Glutathione peroxidase,,247,1.0,2,2,11,0.53,0.55,Thamnophis elegans.,
9,a,B6EWW8,V5NTD_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/V5NTD_GLOBR"")",Snake venom 5'-nucleotidase; 5'-NT; Ecto-5'-nucleotidase,,588,1.0,18,6,77,3.69,2.39,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
9,b,F8S0Z7,V5NTD_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/V5NTD_CROAD"")",Snake venom 5'-nucleotidase; 5'-NT; Ecto-5'-nucleotidase,,526,0.992,13,1,1,0.05,1.34,Crotalus adamanteus (Eastern diamondback rattlesnake).,
10,a,C5H5D1,VM31_CRODC,"=HYPERLINK(""http://uniprot.org/uniprot/VM31_CRODC"")",Zinc metalloproteinase-disintegrin crotastatin; Snake venom metalloprotease; SVMP; Vascular apoptosis-inducing protein-like; VAP-like,,418,1.0,9,1,54,2.58,1.41,Crotalus durissus cascavella (Northeastern Brazilian rattlesnake).,
10,b,C5H5D3,VM32_BOTAT,"=HYPERLINK(""http://uniprot.org/uniprot/VM32_BOTAT"")",Zinc metalloproteinase-disintegrin batroxstatin-2; Snake venom metalloprotease; SVMP; Vascular apoptosis-inducing protein-like; VAP-like,,418,1.0,8,3,18,0.86,1.45,Bothrops atrox (Barba amarilla) (Fer-de-lance).,
10,c,B0VXU8,B0VXU8_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXU8_SISCA"")",Metalloproteinase isoform 6,,444,1.0,6,3,26,1.24,0.36,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
10,d,Q9DGH6,DISSA_GLOHA,"=HYPERLINK(""http://uniprot.org/uniprot/DISSA_GLOHA"")",Disintegrin saxatilin,,73,0.9999,8,4,26,1.24,0.82,Gloydius halys (Chinese water mocassin) (Agkistrodon halys).,
10,e,Q1PS45,VM3AK_DEIAC,"=HYPERLINK(""http://uniprot.org/uniprot/VM3AK_DEIAC"")",Zinc metalloproteinase-disintegrin agkihagin; Snake venom metalloproteinase; SVMP,,608,0.9984,5,1,1,0.05,0.46,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus).,
10,f,P18618,DISI_BOTAT,"=HYPERLINK(""http://uniprot.org/uniprot/DISI_BOTAT"")",Disintegrin batroxostatin; Platelet aggregation activation inhibitor,,71,0.99,3,1,1,0.05,0.24,Bothrops atrox (Barba amarilla) (Fer-de-lance).,
10,g,Q9PVK9,VM2MD_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/VM2MD_GLOBR"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase Mt-d; SVMP; Disintegrin,,482,0.9753,5,0,7,0.34,0.72,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
