group,sibling,seqid,uniprot_id,url,description,gene,length,probability,percent_coverage,num_unique_peptide,num_peptide,percent_share_of_spectrum_ids,organism,other_seqids
1,a,P25451,PSB3_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PSB3_YEAST"")",Proteasome subunit beta type-3; Macropain subunit PUP3; Multicatalytic endopeptidase complex subunit PUP3; Proteasome component PUP3,PUP3,205,1.0,23.4,3,3,1.32,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
2,a,P60010,ACT_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ACT_YEAST"")",Actin,ACT1,375,1.0,15.2,6,6,3.16,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
3,a,Q01939,PRS8_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS8_YEAST"")",26S protease regulatory subunit 8 homolog; Protein CIM3; Protein SUG1; Tat-binding protein TBY1,RPT6,405,1.0,70.9,63,65,48.96,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
4,a,P38764,RPN1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN1_YEAST"")",26S proteasome regulatory subunit RPN1; HMG-CoA reductase degradation protein 2; Proteasome non-ATPase subunit 1,RPN1,993,1.0,31.1,35,35,19.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
5,a,Q08723,RPN8_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN8_YEAST"")",26S proteasome regulatory subunit RPN8,RPN8,338,1.0,17.2,5,5,3.12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
6,a,Q06103,RPN7_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN7_YEAST"")",26S proteasome regulatory subunit RPN7,RPN7,429,1.0,38.2,20,20,11.16,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
7,a,P53549,PRS10_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS10_YEAST"")",26S protease subunit RPT4; 26S protease subunit SUG2; Proteasomal cap subunit,RPT4,437,0.9975,4.8,1,3,0.85,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
8,a,Q12250,RPN5_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN5_YEAST"")",26S proteasome regulatory subunit RPN5; Proteasome non-ATPase subunit 5,RPN5,445,0.9911,7.9,3,3,0.73,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
9,a,P33298,PRS6B_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS6B_YEAST"")",26S protease regulatory subunit 6B homolog; Protein YNT1; Tat-binding homolog 2,RPT3,428,0.9911,4.2,1,1,0.63,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
10,a,P33299,PRS7_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS7_YEAST"")",26S protease regulatory subunit 7 homolog; Protein CIM5; Tat-binding homolog 3,RPT1,467,0.9911,2.8,1,1,0.63,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
