seqid,descriptionn_res,DP,DQ,DR,all
sp|Q96EP0,E3 ubiquitin-protein ligase RNF31 OS=Homo sapiens GN=RNF31 PE=1 SV=1,0.0,0.0,1.4925373134328357,1.4925373134328357
sp|Q13596,Sorting nexin-1 OS=Homo sapiens GN=SNX1 PE=1 SV=3,0.0,3.065134099616858,6.321839080459771,9.386973180076629
sp|P60033,CD81 antigen OS=Homo sapiens GN=CD81 PE=1 SV=1,0.0,0.0,7.203389830508475,7.203389830508475
sp|Q9Y217,Myotubularin-related protein 6 OS=Homo sapiens GN=MTMR6 PE=1 SV=3,0.0,0.0,2.576489533011272,2.576489533011272
sp|Q7Z7G8,Vacuolar protein sorting-associated protein 13B OS=Homo sapiens GN=VPS13B PE=1 SV=2,0.0,0.0,0.37294878170064644,0.37294878170064644
sp|Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3,0.0,0.0,0.5504587155963303,0.5504587155963303
sp|Q13445,Transmembrane emp24 domain-containing protein 1 OS=Homo sapiens GN=TMED1 PE=1 SV=1,0.0,0.0,5.726872246696035,5.726872246696035
sp|Q13444,Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens GN=ADAM15 PE=1 SV=4,0.0,2.6651216685979144,2.317497103128621,4.9826187717265356
sp|Q9BTW9,Tubulin-specific chaperone D OS=Homo sapiens GN=TBCD PE=1 SV=2,0.0,0.0,1.2583892617449663,1.2583892617449663
sp|Q9UN70,Protocadherin gamma-C3 OS=Homo sapiens GN=PCDHGC3 PE=1 SV=1,0.0,1.6059957173447537,1.8201284796573876,3.4261241970021414
sp|Q13443,Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1,2.0757020757020754,1.8315018315018317,1.8315018315018317,5.738705738705739
sp|Q04837,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1",8.783783783783784,12.837837837837837,10.81081081081081,32.432432432432435
sp|P43007,Neutral amino acid transporter A OS=Homo sapiens GN=SLC1A4 PE=1 SV=1,0.0,13.345864661654137,11.654135338345863,25.0
sp|P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,0.0,0.0,4.282115869017632,4.282115869017632
sp|P19224,UDP-glucuronosyltransferase 1-6 OS=Homo sapiens GN=UGT1A6 PE=1 SV=2,0.0,0.0,2.2556390977443606,2.2556390977443606
sp|P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,0.0,8.089887640449438,14.831460674157304,20.674157303370784
sp|Q9Y6R9,Coiled-coil domain-containing protein 61 OS=Homo sapiens GN=CCDC61 PE=1 SV=2,0.0,0.0,3.5864978902953584,3.5864978902953584
