seqid,descriptionn_res,DP,DQ,DR,all
sp|Q13596,Sorting nexin-1 OS=Homo sapiens GN=SNX1 PE=1 SV=3,0.0,3.065134099616858,0.0,3.065134099616858
sp|P60033,CD81 antigen OS=Homo sapiens GN=CD81 PE=1 SV=1,0.0,0.0,7.203389830508475,7.203389830508475
sp|Q13444,Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens GN=ADAM15 PE=1 SV=4,0.0,2.6651216685979144,0.0,2.6651216685979144
sp|Q9UN70,Protocadherin gamma-C3 OS=Homo sapiens GN=PCDHGC3 PE=1 SV=1,0.0,1.6059957173447537,1.7130620985010707,3.3190578158458246
sp|Q13443,Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1,2.0757020757020754,1.8315018315018317,0.0,3.907203907203907
sp|Q04837,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1",8.783783783783784,12.837837837837837,10.135135135135135,31.756756756756754
sp|P43007,Neutral amino acid transporter A OS=Homo sapiens GN=SLC1A4 PE=1 SV=1,0.0,13.345864661654137,2.819548872180451,16.165413533834585
sp|P19224,UDP-glucuronosyltransferase 1-6 OS=Homo sapiens GN=UGT1A6 PE=1 SV=2,0.0,0.0,2.2556390977443606,2.2556390977443606
sp|P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,0.0,8.089887640449438,7.191011235955057,13.258426966292136
sp|P49591,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3",6.809338521400778,0.0,0.0,6.809338521400778
sp|Q9BTY2,Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2,4.282655246252676,0.0,6.423982869379015,10.706638115631693
sp|P49755,Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens GN=TMED10 PE=1 SV=2,0.0,0.0,5.93607305936073,5.93607305936073
sp|P61106,Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,0.0,6.976744186046512,14.883720930232558,21.86046511627907
